Mutation,ProteinExpressed,UnmutatedMean,UnmutatedStdDev,MutatedMean,MutatedStdDev,n,p_post_bonferroni
NPM1,DLGAP2,0.542457,1.360391,0.009529,0.019072,48,0.000000
NPM1,NPTX1,0.164406,0.412714,2.031898,5.392895,48,0.000000
NPM1,CT45A5,0.507457,2.820515,3.321500,5.876696,48,0.000000
NPM1,POU6F1,3.067165,1.713917,1.217198,0.945400,48,0.000000
NPM1,GYPC,38.462209,25.815228,11.742277,11.551325,48,0.000000
NPM1,RPS6KA2,5.753869,5.669259,1.050550,0.926331,48,0.000000
NPM1,C22orf26,1.234618,0.917990,2.903888,1.364063,48,0.000000
NPM1,CDCA7,45.155437,24.613390,16.175677,13.387707,48,0.000000
NPM1,NRP1,1.979440,3.126533,0.227317,0.588126,48,0.000000
NPM1,MAP1LC3A,1.974745,2.957174,5.348235,6.356984,48,0.000000
NPM1,MAN1A1,60.107338,57.781745,15.601035,10.321511,48,0.000000
NPM1,LOC100133669,0.470217,0.565917,0.073302,0.130288,48,0.000000
FLT3-ITD,TRIM16,1.483461,2.073347,5.057608,4.120784,37,0.000000
NPM1,LOC441204,1.063425,1.226237,3.082185,1.704073,48,0.000000
NPM1,CD200,23.455890,20.130294,4.572800,8.767310,48,0.000000
NPM1,SLC10A2,2.242296,16.209118,1.094419,4.327659,48,0.000000
NPM1,APP,60.178138,52.884128,9.467906,21.778672,48,0.000000
NPM1,PHKA2,17.472827,4.622733,28.238169,10.711746,48,0.000000
NPM1,LY9,7.488452,5.414727,2.629952,2.446797,48,0.000000
NPM1,PPARGC1A,0.610093,1.849875,2.272483,2.301776,48,0.000000
NPM1,FGF10,0.079698,0.604687,2.998960,5.078061,48,0.000000
NPM1,FAM134B,3.565733,3.564864,0.790162,1.097186,48,0.000001
NPM1,MLLT3,6.639545,7.153056,1.693504,3.480467,48,0.000001
NPM1,PPP1R14A,1.928661,3.630565,0.110435,0.155099,48,0.000001
NPM1,HOXA1,0.659920,0.629578,1.864927,1.017375,48,0.000001
NPM1,CPNE8,7.646776,7.708064,18.238298,5.800343,48,0.000001
NPM1,ITM2C,139.882524,102.496986,48.000948,50.754323,48,0.000001
NPM1,FGFR1,8.813830,11.400118,1.093863,0.818688,48,0.000001
NPM1,SH3RF1,6.754538,4.081589,3.415175,1.374241,48,0.000001
NPM1,NAV1,5.554068,5.687868,1.348158,1.985192,48,0.000001
NPM1,CCDC74A,0.279450,0.725721,0.959048,0.963939,48,0.000001
NPM1,DUSP27,2.309200,3.057104,0.212777,0.715423,48,0.000001
NPM1,SMAGP,3.730994,2.908704,1.398263,0.586788,48,0.000001
KRAS,OR10A6,0.000000,0.000000,0.013186,0.020883,7,0.000002
SMC1A,C21orf54,0.000000,0.000000,0.009429,0.015766,7,0.000002
FLT3+NPM1,C21orf54,0.000000,0.000000,0.009429,0.015766,7,0.000002
NPM1,ADAMTS10,7.276471,8.225653,1.390998,1.839668,48,0.000002
NPM1,NOG,8.565178,10.488308,1.501883,2.762951,48,0.000002
NPM1,CD34,143.109869,160.255891,18.574815,55.204959,48,0.000002
NPM1,GNG2,18.094479,10.161450,7.306752,7.622779,48,0.000002
NPM1,HOXB1,0.020357,0.070656,0.143162,0.234492,48,0.000002
NPM1,HSD17B4,37.953086,13.751177,57.660369,21.821303,48,0.000003
NPM1,HGF,48.193019,82.466747,5.539600,5.164372,48,0.000004
NPM1,LOC201651,0.112431,0.308318,1.220479,3.274242,48,0.000004
NPM1,HES4,0.373387,0.664820,2.939196,9.085930,48,0.000004
NPM1,SORL1,72.048228,40.716855,31.822769,16.438771,48,0.000005
NPM1,KIRREL,1.348854,1.989382,0.118940,0.295577,48,0.000005
NPM1,DDI1,0.195287,0.291252,0.566450,0.442870,48,0.000005
NPM1,SFMBT2,7.390235,4.557072,3.035562,2.352122,48,0.000006
NPM1,ZNF595,4.487383,4.498125,0.894571,1.292129,48,0.000007
DNMT3A+NPM1,WNT7B,0.239703,0.724857,1.590591,1.748369,23,0.000008
NPM1,SDK2,6.471479,10.497961,0.299431,0.341944,48,0.000008
NPM1,C1orf59,21.642035,12.723647,9.548767,5.379387,48,0.000008
NPM1,PDE3B,13.940469,8.007457,6.462783,3.774814,48,0.000009
NPM1,TSLP,0.260248,0.486592,1.192827,1.713891,48,0.000009
NPM1,ORMDL2,11.647336,2.827936,15.538844,3.404978,48,0.000009
NPM1,C2CD2,8.392303,4.531404,4.175194,1.930301,48,0.000009
NPM1,ARHGEF10,1.517766,2.080447,0.310038,0.346615,48,0.000011
NPM1,DLG2,0.099811,0.105194,0.036733,0.050764,48,0.000011
TP53,TMEM8C,0.000837,0.007408,0.027979,0.064669,14,0.000013
MT-CYB,LYZL1,0.000218,0.002829,0.007220,0.009108,5,0.000014
NPM1,HOXA13,0.047480,0.262777,0.887696,2.435586,48,0.000014
NPM1,FCHSD2,37.265279,12.387561,25.712433,5.511242,48,0.000015
NPM1,ANKH,7.686146,3.271073,4.223381,1.879260,48,0.000015
NPM1,DHRS3,6.285558,6.718071,1.300527,1.314234,48,0.000015
NPM1,ITGB4,1.456477,2.731489,0.332340,0.402033,48,0.000016
NPM1,NKAIN4,0.104397,1.001845,0.064090,0.194291,48,0.000018
NPM1,CREG1,102.200218,34.678867,147.167723,36.388274,48,0.000022
NPM1,FARP1,1.066057,1.623750,0.251144,0.198792,48,0.000022
NPM1,C6orf145,0.970577,1.279996,0.183377,0.194267,48,0.000022
NPM1,LRRC2,0.336912,0.543997,0.057890,0.108801,48,0.000023
NPM1,CNN2,83.964213,35.568137,46.321712,23.475154,48,0.000024
NPM1,SEC16B,1.172731,1.044070,2.507250,1.178412,48,0.000025
NPM1,MGC16121,2.394781,3.842484,0.310317,1.352189,48,0.000027
NPM1,CYP46A1,0.837033,1.849473,0.036177,0.048351,48,0.000027
NPM1,TP53INP2,9.384431,20.105960,39.041423,53.134845,48,0.000028
FLT3-ITD,CYSLTR2,2.763735,3.546463,11.847951,12.017745,37,0.000029
NPM1,STAC3,10.802019,6.523206,20.401002,8.495581,48,0.000029
NPM1,UGGT2,1.071740,1.705308,3.820042,2.308397,48,0.000030
NPM1,CCL23,6.211413,16.695150,19.293842,24.091452,48,0.000031
NPM1,HOMER2,5.075678,5.241113,1.152594,1.150775,48,0.000031
NPM1,RAD23B,35.383291,9.288705,25.227383,6.830871,48,0.000034
NPM1,P4HA1,17.190230,5.957592,24.330894,6.841045,48,0.000036
NPM1,CUX2,0.788187,1.365294,0.053329,0.081749,48,0.000036
NPM1+FLT3-ITD,SLCO1B3,0.011633,0.054197,0.135732,0.291381,19,0.000039
NPM1,LYSMD4,5.590858,1.988807,3.522358,1.040313,48,0.000045
NPM1,MAFA,0.031775,0.048451,0.183152,0.242954,48,0.000046
NPM1,PRICKLE1,3.501914,4.199138,8.124198,4.878541,48,0.000048
FLT3-ITD,SLC17A2,0.020740,0.131658,1.663816,6.059839,37,0.000049
DNMT3A+NPM1,LMX1B,0.150954,0.741701,0.860070,1.373812,23,0.000049
NPM1,SNX10,17.402108,14.873222,33.656348,15.917466,48,0.000050
NPM1,NRG4,4.965513,6.728525,10.430808,5.131959,48,0.000050
NPM1,RAB3IL1,2.099805,2.703566,0.458125,0.755110,48,0.000053
NPM1,PLA2G4A,7.811954,4.776846,14.964046,6.485569,48,0.000055
NPM1,C3orf65,2.813958,1.803813,6.220727,3.538999,48,0.000056
DNMT3A+NPM1,CT45A5,0.952044,3.589570,3.442104,6.120135,23,0.000056
NPM1,TMEM65,7.879476,4.907065,16.445394,11.704540,48,0.000058
FLT3-ITD,S100A1,3.332722,3.618482,9.214095,8.332569,37,0.000061
NPM1,FAM159A,3.176471,2.820200,1.061596,1.334632,48,0.000062
NPM1,IGF2BP2,32.535117,15.758028,53.531090,17.771498,48,0.000064
NPM1,CAT,259.029398,195.060832,497.016342,252.361159,48,0.000065
NPM1,CACNA1C,0.811397,0.900855,0.207756,0.174337,48,0.000068
NPM1,USP40,6.356773,2.290301,9.459940,2.653641,48,0.000071
NPM1,MARVELD2,0.387024,0.558924,1.326831,1.126420,48,0.000073
TTN,C14orf177,0.000462,0.003631,0.020733,0.028854,6,0.000074
NPM1,HRH3,0.041139,0.062196,0.153421,0.154003,48,0.000085
NPM1,DLGAP3,1.342669,2.488361,0.317777,0.716595,48,0.000096
NPM1,MPP7,3.453447,3.319885,8.005458,5.562659,48,0.000096
NPM1,BID,19.861421,4.868371,27.112012,6.954514,48,0.000098
NPM1,ABHD11,3.613361,2.362507,5.939892,2.750336,48,0.000107
NPM1,CPS1,0.320346,0.864205,0.019975,0.030357,48,0.000110
NPM1,MEST,59.360001,62.549721,14.541475,17.505732,48,0.000114
NPM1,SNORD116-4,5.955580,4.661591,1.801333,2.281073,48,0.000114
NPM1,SNORD116-28,3.083172,2.394111,0.936829,1.226306,48,0.000133
